"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"6278","RT @imbeatriz26: Akalain mo yun magkasama pa din silang bumalik sa same restaurant na pinuntahan nila 3 years ago <ed><a0><bd><ed><b2><99> https://t.co/dN7IyAyBl1",204,FALSE,FALSE,"978477587331559424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Mar 27 03:43:30 +0000 2018",NA,NA,"tl",113,FALSE,NA,"1560554966","Works as Analyst. Mother to an amateur surfer/artist/nurse/guitarist. Likes to listen to the voice of Dominique Van Hulst. KathNiel Tard.",TRUE,"Mon Jul 01 13:30:59 +0000 2013",408364,1670,16481,FALSE,NA,"MS. BROUSSEAU",NA,"en",NA,555,"ni2qf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6282","RT @BuzzFeed: This restaurant serves you wine in baby bottles <ed><a0><bc><ed><bd><b7> https://t.co/vcMEQWptox",642,FALSE,FALSE,"978477602842099712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Mar 27 03:43:34 +0000 2018",NA,NA,"en",5,FALSE,"Gaia","91446414","<U+2665><U+06BF><U+06B0><U+06E3><U+2665> PEACE & LOVE <U+2665><U+06BF><U+06B0><U+06E3><U+2665>  a public service announcement. InLak'ech",FALSE,"Fri Nov 20 23:02:25 +0000 2009",6424,502,835,FALSE,"http://swissindo.news","kimarie teter","America/Los_Angeles","en",-25200,956,"kimarie93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6283","RT @BuzzFeed: This restaurant serves you wine in baby bottles <ed><a0><bc><ed><bd><b7> https://t.co/vcMEQWptox",642,FALSE,FALSE,"978477603190427648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Mar 27 03:43:34 +0000 2018",NA,NA,"en",2,FALSE,NA,"902702178841890817","19 // nsfw (18+) // little space // sometimes switch <U+2800><U+2800><U+2800> <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><U+2728><ed><U+00A0><U+00BC><ed><U+00BD><U+00BC><U+2800>venmo: katieoverbored<U+2800><U+2800><U+2800><U+2800> <U+2800>",TRUE,"Wed Aug 30 01:19:05 +0000 2017",2839,875,3202,FALSE,"http://a.co/cWC2nD6","<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>chunky baby<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>",NA,"en",NA,318,"daddyslittlebbw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6295","RT @Abiizzzzy: When your friend invites you to a dinner but didn't tell you what kind of restaurant it was<ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad> https://t.co/6hxGUZbYgN",1,FALSE,FALSE,"978477687848267776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Mar 27 03:43:54 +0000 2018",NA,NA,"en",2,FALSE,"Dunder Mifflin","333058829","aspiring morning person",TRUE,"Sun Jul 10 22:27:24 +0000 2011",16171,816,12663,FALSE,"https://itunes.apple.com/ca/playlist/pretty-girls-like-trap/pl.u-47rBfZmVN49","nayoyo","Casablanca","en",3600,497,"naomimathewss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/facundoxxii/status/978315394384650243","https://t.co/6hxGUZbYgN"
"6296","RT @imbeatriz26: Akalain mo yun magkasama pa din silang bumalik sa same restaurant na pinuntahan nila 3 years ago <ed><a0><bd><ed><b2><99> https://t.co/dN7IyAyBl1",205,FALSE,FALSE,"978477689295159296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Mar 27 03:43:55 +0000 2018",NA,NA,"tl",1,FALSE,"kathniel","878643673163980800","in order to be irreplaceable one must always be different",FALSE,"Sat Jun 24 15:59:10 +0000 2017",3470,166,1725,FALSE,"https://Instagram.com/iannaley","rianne",NA,"en",NA,108,"iannaley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6302","RT @WairoonThailand: <e0><b9><80><e0><b8><ae><e0><b8><99><e0><b8><a3><e0><b8><b5><e0><b9><88><e0><b8><ab><e0><b8><b8><e0><b9><89><e0><b8><99><e0><b8><81><e0><b8><b1><e0><b8><9a><e0><b9><80><e0><b8><9e><e0><b8><b7><e0><b9><88><e0><b8><ad><e0><b8><99><e0><b9><86><e0><b9><80><e0><b8><9b><e0><b8><b4><e0><b8><94><e0><b8><a3><e0><b9><89><e0><b8><b2><e0><b8><99><e0><b8><ad><e0><b8><b2><e0><b8><ab><e0><b8><b2><e0><b8><a3><e0><b9><84><e0><b8><95><e0><b9><89><e0><b8><ab><e0><b8><a7><e0><b8><b1><e0><b8><99><e0><b8><8a><e0><b8><b7><e0><b9><88><e0><b8><ad> Xiao Zhan <ef><bc><88><e5><b0><8f><e7><ab><99><ef><bc><89><e0><b9><83><e0><b8><99><e0><b8><a2><e0><b9><88><e0><b8><b2><e0><b8><99><e0><b8><81><e0><b8><b1><e0><b8><87><e0><b8><99><e0><b8><b1><e0><b8><a1> <e0><b8><96><e0><b9><89><e0><b8><b2><e0><b9><84><e0><b8><9b><e0><b9><80><e0><b8><97><e0><b8><b5><e0><b9><88><e0><b8><a2><e0><b8><a7><e0><b9><82><e0><b8><8b><e0><b8><a5><e0><b8><ad><e0><b8><a2><e0><b9><88><e0><b8><b2><e0><b8><a5><e0><b8><b7><e0><b8><a1><e0><b9><81><e0><b8><a7><e0><b8><b0><e0><b9><84><e0><b8><9b><e0><b8><8a><e0><b8><b4><e0><b8><a1><e0><b8><81><e0><b8><b1><e0><b8><99><e0><b8><99><e0><b8><b0><e0><b8><84><e0><b8><b0> <ed><a0><bd><ed><b8><8d><ed><a0><bc><ed><bd><9c><ed><a0><bc><ed><bd><bd><ed><a0><bc><ed><bd><b6> #<e0><b9><80><e0><b8><ae><e0><b8><99><e2><80><a6>",365,FALSE,FALSE,"978477720005787648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Mar 27 03:44:02 +0000 2018",NA,NA,"th",2,FALSE,NA,"812256535724208128",NA,FALSE,"Fri Dec 23 11:20:23 +0000 2016",70608,24,1873,FALSE,NA,"your eyes ^^",NA,"th",NA,35,"wanwanmin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6304","<ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82> https://t.co/Nle6nX9yGS",0,FALSE,FALSE,"978477729917100032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Mar 27 03:44:04 +0000 2018",NA,NA,"und",21,FALSE,"<U+00A1>DE VISITANTE O DE LOCAL!","3323810843","Cubro a @FerroOficial para @lavozdelfutbol2 |Si me buscan estoy en la tribuna| Perd<U+00F3>n por el color de mi sangre|Hincha y socia N<U+00B0>77862-2 ENFERMA de @RacingClub.",TRUE,"Sat Jun 13 22:49:15 +0000 2015",62091,3133,50774,FALSE,"http://RacingClub1903.Sarahah.com","Racing, luego existo",NA,"es",NA,4999,"DanaFernandezRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/Gezecca/status/978434643119824897","https://t.co/Nle6nX9yGS"
"6308","My og been bumping ulices chaidez ever since she met him at this restaurant yesterday <ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82>",0,FALSE,FALSE,"978477744622366720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Mar 27 03:44:08 +0000 2018",NA,NA,"en",0,FALSE,"Joliet, IL","876846211675955200",NA,FALSE,"Mon Jun 19 16:56:42 +0000 2017",1475,126,545,FALSE,NA,"Nando Trujillo <ed><U+00A0><U+00BD><ed><U+00B2><U+00B8>",NA,"en",NA,107,"Nando98_T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6309","RT @imbeatriz26: Akalain mo yun magkasama pa din silang bumalik sa same restaurant na pinuntahan nila 3 years ago <ed><a0><bd><ed><b2><99> https://t.co/dN7IyAyBl1",206,FALSE,FALSE,"978477744638971904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Mar 27 03:44:08 +0000 2018",NA,NA,"tl",12,FALSE,"Cebu City","3385433174","God Is Fair x IloveKathNiel",TRUE,"Sat Aug 29 20:58:57 +0000 2015",30296,45,698,FALSE,NA,"JustMe92",NA,"en",NA,131,"maricel_natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6315","RT @WairoonThailand: <e0><b9><80><e0><b8><ae><e0><b8><99><e0><b8><a3><e0><b8><b5><e0><b9><88><e0><b8><ab><e0><b8><b8><e0><b9><89><e0><b8><99><e0><b8><81><e0><b8><b1><e0><b8><9a><e0><b9><80><e0><b8><9e><e0><b8><b7><e0><b9><88><e0><b8><ad><e0><b8><99><e0><b9><86><e0><b9><80><e0><b8><9b><e0><b8><b4><e0><b8><94><e0><b8><a3><e0><b9><89><e0><b8><b2><e0><b8><99><e0><b8><ad><e0><b8><b2><e0><b8><ab><e0><b8><b2><e0><b8><a3><e0><b9><84><e0><b8><95><e0><b9><89><e0><b8><ab><e0><b8><a7><e0><b8><b1><e0><b8><99><e0><b8><8a><e0><b8><b7><e0><b9><88><e0><b8><ad> Xiao Zhan <ef><bc><88><e5><b0><8f><e7><ab><99><ef><bc><89><e0><b9><83><e0><b8><99><e0><b8><a2><e0><b9><88><e0><b8><b2><e0><b8><99><e0><b8><81><e0><b8><b1><e0><b8><87><e0><b8><99><e0><b8><b1><e0><b8><a1> <e0><b8><96><e0><b9><89><e0><b8><b2><e0><b9><84><e0><b8><9b><e0><b9><80><e0><b8><97><e0><b8><b5><e0><b9><88><e0><b8><a2><e0><b8><a7><e0><b9><82><e0><b8><8b><e0><b8><a5><e0><b8><ad><e0><b8><a2><e0><b9><88><e0><b8><b2><e0><b8><a5><e0><b8><b7><e0><b8><a1><e0><b9><81><e0><b8><a7><e0><b8><b0><e0><b9><84><e0><b8><9b><e0><b8><8a><e0><b8><b4><e0><b8><a1><e0><b8><81><e0><b8><b1><e0><b8><99><e0><b8><99><e0><b8><b0><e0><b8><84><e0><b8><b0> <ed><a0><bd><ed><b8><8d><ed><a0><bc><ed><bd><9c><ed><a0><bc><ed><bd><bd><ed><a0><bc><ed><bd><b6> #<e0><b9><80><e0><b8><ae><e0><b8><99><e2><80><a6>",366,FALSE,FALSE,"978477764771594240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Mar 27 03:44:13 +0000 2018",NA,NA,"th",0,FALSE,"Bangkok, Thailand","61163105","<U+C6B0><U+B9AC> <U+CC9C><U+CC9C><U+D788> <U+AC00><U+C790>.",TRUE,"Wed Jul 29 10:20:30 +0000 2009",167004,171,1036,FALSE,NA,"ANYJ<ed><U+00A0><U+00BC><ed><U+00BD><U+0092>","Hanoi","en",25200,139,"_aaunxx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6321","RT @imbeatriz26: Akalain mo yun magkasama pa din silang bumalik sa same restaurant na pinuntahan nila 3 years ago <ed><a0><bd><ed><b2><99> https://t.co/dN7IyAyBl1",207,FALSE,FALSE,"978477783365050369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Mar 27 03:44:17 +0000 2018",NA,NA,"tl",54,FALSE,NA,"1570267842","KATHNIEL  <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C>

I just want another chance .. - Mia",FALSE,"Fri Jul 05 11:14:55 +0000 2013",101167,193,104019,FALSE,NA,"DarlKai <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>","Beijing","en",28800,292,"darleanekai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
